Johann Wolfgang von Goethe
Friedrich Schiller
Bertolt Brecht
Thomas Mann
Heinrich Heine
Gotthold Ephraim Lessing
Theodor Fontane
Gerhart Hauptmann
Gottfried Keller
Wilhelm Busch
Max Frisch
Annette von Droste-Hülshoff
Frank Schirrmacher
Erich Kästner
Joseph Freiherr von Eichendorff
Marcel Reich-Ranicki
Hermann Hesse
Günter Grass
Friedrich Dürrenmatt
Georg Büchner
Heinrich von Kleist
Karl May
Klaus Mann
Rainer Maria Rilke
Siegfried Lenz
Wolfgang Borchert
Erich Maria Remarque
E. T. A. Hoffmann
Kurt Tucholsky
B. Traven
Arthur Koestler
