Aaron Sorkin
Agatha Christie
Alain de Botton
Alan Moore
Alexander Pope
Andrew Sarris
Anne Brontë
Arthur C. Clarke
Arthur Conan Doyle
Arthur Koestler
Arthur Miller
Arundhati Roy
A. S. Byatt
Ayn Rand
Beatrix Potter
Ben Jonson
Bram Stoker
Carlos Castaneda
Charles Bukowski
Charles Dickens
Charlotte Brontë
Christopher Hitchens
Christopher Marlowe
Clive Barker
C. S. Lewis
Dan Brown
Daniel Defoe
Daphne du Maurier
Dashiell Hammett
David Levien
Dean Koontz
D. H. Lawrence
Douglas Adams
Dr. Seuss
Edgar Allan Poe
Elie Wiesel
Elizabeth Barrett Browning
E. L. James
Emily Brontë
Eric Schlosser
Ernest Hemingway
Frank Herbert
Fritz Leiber
F. Scott Fitzgerald
George Bernard Shaw
George Eliot
George Henry Lewes
George Orwell
George R. R. Martin
Germaine Greer
Gertrude Stein
G. K. Chesterton
Glenn Greenwald
Gore Vidal
Harold Bloom
Harold Pinter
Helen Keller
Henry James
Henry Wadsworth Longfellow
Herman Melville
H. G. Wells 
H. P. Lovecraft 
Hunter S. Thompson
Idries Shah
Iris Murdoch
Isaac Asimov
Jack Kerouac
Jack London
James Fenimore Cooper
Jancis Robinson
Jane Austen
Jane Roberts
J. D. Salinger
J. K. Rowling
J. M. Coetzee
John Donne
John Green (author)
John Milton
John Ruskin
John Steinbeck
Jonathan Swift
Joseph Conrad
J. R. R. Tolkien
Judd Apatow
Kurt Vonnegut
Langston Hughes
Lewis Carroll
L. J. Smith (author)
Lord Byron
Margaret Drabble
Mark Twain
Matthew Arnold
Maureen Johnson
Maurice Sendak
Maya Angelou
Natalie Clifford Barney
Neil Gaiman
Nicholas Sparks
O. Henry
Olivia Manning
Oscar Wilde
Peter Straub
P. G. Wodehouse
Philip K. Dick
P. L. Travers
Rachel Carson
Ray Bradbury
Raymond Carver
Raymond Chandler
Richard Bach
Richard Wright (author)
Roald Dahl
Robert A. Heinlein
Robert Browning
Robert Christgau
Robert E. Howard 
Robert Graves
Robert Louis Stevenson
Roger Ebert
Rudyard Kipling 
Russell T Davies
Salman Rushdie
Samuel Beckett
Samuel Johnson 
Samuel Taylor Coleridge
Saul Bellow
Sidney Sheldon
Stephenie Meyer
Stephen King
Suzanne Collins 
Sylvia Plath
Tabitha King
Terry Pratchett
Thomas Carlyle
Thomas Pynchon
Thomas Wolfe
Timothy Brook
Tom Clancy
Truman Capote
T. S. Eliot
Virginia Woolf
Vladimir Nabokov
Walter Raleigh
Walter Scott 
Walt Whitman
Washington Irving
Will Durant
William Carlos Williams
William Faulkner 
William Gibson 
William Hazlitt 
William S. Burroughs
William S. Burroughs Jr.
William Shakespeare
William Wordsworth
W. Somerset Maugham
Zelda Fitzgerald
