Miguel de Cervantes
Lope de Vega
Jorge Luis Borges
Juana Inés de la Cruz
Gabriel García Márquez
Octavio Paz
Pablo Neruda
Julio Cortázar
Mario Vargas Llosa
Carlos Fuentes
Rubén Darío
Mario Benedetti
Alfonsina Storni
Amado Nervo
Antonio Machado
Baltasar Gracián
Benito Pérez Galdós
César Vallejo
Francisco de Quevedo
Gabriela Mistral
Gustavo Adolfo Bécquer
Juan Rulfo
Pedro Calderón de la Barca
Roberto Bolaño
Sabino Arana
Rosalía de Castro
Eduardo Pondal
Laura Restrepo
José Martí
Reinaldo Arenas
Alfredo Bryce
José Echegaray
Corín Tellado
Augusto Roa Bastos
Isabel Allende
Juan José Arreola
Fernando Arrabal
Witold Gombrowicz
