Alain Soral
Alexandre Dumas
Anatole France
André Breton
André Gide
André Malraux
Antoine de Saint-Exupéry
Arthur Rimbaud
Benjamin Fondane
Boris Vian
Charles Augustin Sainte-Beuve
Charles Baudelaire
Émile Zola
Éric Zemmour
Fernando Arrabal
François Mauriac 
François Rabelais 
François-René de Chateaubriand
François Villon
Frédéric Mistral
Georges Simenon
Guillaume Apollinaire
Gustave Flaubert
Guy de Maupassant
Jean Anouilh
Jean de La Fontaine
Jean Racine
Jules Verne
Leconte de Lisle
Louis Aragon
Marcel Pagnol
Marquis de Sade
Milan Kundera
Molière
Paul Bourget
Paul Claudel
Paul Éluard
Paul Verlaine
Pierre Corneille
Pierre de Marivaux
Pierre de Ronsard
Stendhal
Tristan Tzara
Victor Hugo
Voltaire
