Alexander Pushkin
Anton Chekhov
Maxim Gorky
Leo Tolstoy
Nikolai Gogol
Fyodor Dostoyevsky
Alexander Ostrovsky
Mikhail Lermontov
Dmitry Merezhkovsky
Ivan Turgenev
Aleksandr Solzhenitsyn
Aleksey Pleshcheyev
Chingiz Abdullayev
Marina Tsvetaeva
Gavrila Derzhavin
Vissarion Belinsky
Taras Shevchenko
Vladimir Mayakovsky
Boris Akunin
Alexander Grin
Anna Akhmatova
Boris Pasternak
Constantin Stanislavski
Ivan Bunin
Joseph Brodsky
Konstantin Balmont
Mikhail Bulgakov 
Nikolay Karamzin 
Nikolay Nekrasov
Velimir Khlebnikov
Victor Pelevin
Zinaida Gippius
Daniil Kharms
Vladimir Nabokov
